aX,aY,aZ,gX,gY,gZ
0.416,-1.522,-0.666,45.654,-84.839,-77.576
0.390,-1.542,-0.774,40.527,-86.365,-85.083
0.368,-1.516,-0.915,34.119,-86.487,-95.154
0.367,-1.489,-1.028,30.334,-81.787,-104.431
0.367,-1.492,-1.115,29.480,-71.899,-109.741
0.343,-1.486,-1.176,27.954,-59.998,-112.854
0.318,-1.475,-1.218,23.254,-47.302,-115.784
0.295,-1.447,-1.234,14.832,-36.072,-118.652
0.255,-1.362,-1.259,1.465,-26.428,-123.108
0.231,-1.260,-1.286,-15.503,-16.663,-128.601
0.229,-1.187,-1.290,-31.006,-4.578,-133.362
0.235,-1.134,-1.282,-40.710,8.484,-135.193
0.243,-1.081,-1.257,-46.326,21.301,-134.216
0.232,-1.000,-1.238,-50.842,31.067,-131.958
0.209,-0.918,-1.208,-56.396,38.208,-130.310
0.179,-0.827,-1.165,-66.284,43.213,-129.211
0.149,-0.735,-1.142,-79.834,45.044,-127.502
0.152,-0.644,-1.145,-92.407,46.875,-126.343
0.157,-0.566,-1.101,-99.792,53.833,-124.451
0.140,-0.506,-1.024,-101.196,64.087,-119.812
0.118,-0.457,-0.935,-101.746,75.562,-113.892
0.091,-0.394,-0.835,-105.408,87.524,-109.802
0.065,-0.285,-0.697,-111.328,98.694,-106.873
0.046,-0.158,-0.545,-117.432,106.628,-102.600
0.024,-0.083,-0.417,-120.361,107.544,-96.436
0.023,-0.002,-0.316,-122.009,103.882,-88.501
0.009,0.073,-0.247,-124.878,98.999,-78.552
-0.020,0.146,-0.206,-128.723,94.360,-68.665
-0.047,0.204,-0.176,-132.996,91.309,-61.646
-0.079,0.317,-0.174,-135.559,90.576,-60.425
-0.082,0.481,-0.151,-130.615,92.346,-60.974
-0.086,0.617,-0.105,-114.258,98.816,-55.542
-0.102,0.690,-0.044,-89.539,107.544,-43.457
-0.119,0.724,0.023,-62.134,116.272,-28.625
-0.104,0.726,0.116,-39.063,124.207,-13.672
-0.077,0.714,0.190,-21.179,127.808,0.122
-0.047,0.694,0.251,-4.578,125.610,14.099
-0.002,0.650,0.312,13.977,120.178,28.381
0.028,0.604,0.341,32.837,113.098,41.748
0.061,0.563,0.359,47.363,106.750,54.749
0.098,0.488,0.373,57.312,98.877,67.566
0.140,0.418,0.377,66.101,90.759,80.811
0.203,0.341,0.368,73.120,86.304,95.215
0.298,0.205,0.430,75.134,84.961,111.450
