aX,aY,aZ,gX,gY,gZ
0.341,-2.332,-0.170,-0.977,-19.104,-70.251
0.288,-2.212,-0.189,1.160,-12.207,-87.585
0.208,-2.036,-0.202,5.798,-3.723,-105.286
0.157,-1.864,-0.161,14.099,6.226,-120.117
0.103,-1.721,-0.101,23.621,17.700,-125.671
0.055,-1.582,-0.055,24.963,25.696,-126.282
0.040,-1.521,-0.041,19.775,27.466,-124.146
0.064,-1.511,-0.013,14.709,24.963,-121.643
0.125,-1.545,-0.004,11.536,20.630,-121.338
0.160,-1.539,-0.027,6.775,15.686,-125.916
0.182,-1.523,-0.053,-1.770,12.634,-136.719
0.176,-1.427,-0.081,-9.521,13.184,-149.841
0.148,-1.267,-0.082,-12.756,16.052,-159.546
0.121,-1.130,-0.072,-13.245,20.691,-164.185
0.099,-1.001,-0.050,-8.972,25.757,-164.307
0.083,-0.909,-0.033,0.061,29.358,-161.438
0.085,-0.888,-0.010,9.155,31.494,-157.471
0.074,-0.870,0.003,14.465,33.081,-156.372
0.079,-0.844,0.004,14.404,34.668,-158.691
0.114,-0.907,0.001,7.568,32.593,-161.377
0.117,-0.947,-0.028,-2.869,28.809,-167.053
0.135,-0.920,-0.089,-13.000,26.367,-176.331
0.127,-0.896,-0.137,-19.104,26.855,-183.472
0.081,-0.840,-0.138,-18.066,28.381,-191.040
0.055,-0.751,-0.120,-15.808,28.137,-199.036
-0.015,-0.610,-0.105,-19.104,28.137,-204.102
-0.114,-0.451,-0.097,-28.931,30.212,-207.397
-0.185,-0.340,-0.097,-40.039,30.518,-206.726
-0.203,-0.301,-0.069,-45.532,29.846,-202.209
-0.115,-0.418,-0.039,-47.913,27.649,-195.679
-0.103,-0.504,-0.038,-49.927,23.437,-191.711
-0.099,-0.564,-0.055,-46.753,21.667,-194.763
-0.164,-0.545,-0.068,-37.231,20.447,-198.730
-0.258,-0.412,-0.057,-25.940,22.644,-205.750
-0.380,-0.198,-0.034,-21.423,26.306,-213.440
-0.473,-0.010,-0.010,-26.367,28.809,-216.431
-0.523,0.134,0.009,-39.673,26.123,-215.454
-0.568,0.262,0.005,-57.373,18.555,-211.487
-0.589,0.307,-0.028,-74.646,8.240,-203.064
-0.621,0.361,-0.020,-82.764,0.061,-191.162
-0.683,0.481,0.027,-79.712,0.244,-181.946
-0.764,0.594,0.067,-74.158,4.272,-171.875
-0.850,0.722,0.103,-67.810,7.202,-161.011
-0.896,0.899,0.149,-57.129,11.230,-156.311
-0.934,1.078,0.201,-41.626,15.747,-152.344
-1.010,1.266,0.304,-27.771,19.165,-142.212
-1.108,1.460,0.391,-20.569,23.071,-127.625
-1.168,1.545,0.455,-19.470,24.719,-106.262
-1.306,1.584,0.525,-22.339,22.278,-78.796
-1.332,1.532,0.538,-27.954,17.761,-55.237
-1.324,1.410,0.493,-28.870,8.606,-32.593
-1.294,1.226,0.421,-22.766,-2.625,-5.981
-1.212,0.982,0.325,-15.076,-11.047,21.057
-1.128,0.734,0.235,-7.751,-16.418,44.434
-1.048,0.513,0.158,-3.845,-17.578,62.866
-0.990,0.328,0.096,-4.700,-16.052,74.341
-0.950,0.205,0.047,-8.057,-14.893,78.064
-0.936,0.156,0.016,-12.939,-13.000,76.233
-0.953,0.148,-0.000,-19.836,-10.986,72.937
-0.980,0.168,-0.022,-30.151,-9.155,71.472
-0.990,0.196,-0.030,-39.856,-8.240,72.205
-0.989,0.228,-0.024,-45.837,-6.470,74.158
-0.989,0.262,-0.011,-48.645,-2.930,76.904
-0.989,0.282,0.037,-48.340,0.488,80.688
-0.987,0.325,0.055,-45.349,3.418,85.388
-0.987,0.353,0.080,-37.598,6.042,89.905
-0.980,0.373,0.121,-26.428,8.789,94.177
-0.976,0.393,0.135,-16.052,10.864,100.037
-0.961,0.395,0.165,-6.531,11.963,107.056
-0.946,0.375,0.176,1.282,11.780,116.455
-0.922,0.336,0.177,7.324,11.108,126.587
-0.887,0.277,0.194,12.268,11.230,135.803
-0.855,0.212,0.200,15.991,13.245,144.104
-0.812,0.126,0.213,19.958,16.602,151.733
-0.771,0.021,0.238,24.841,20.508,159.363
-0.737,-0.072,0.250,30.518,23.132,165.710
-0.691,-0.170,0.264,37.659,23.926,168.640
-0.652,-0.253,0.286,43.945,22.705,168.884
-0.618,-0.325,0.302,44.922,18.127,166.321
-0.596,-0.373,0.308,37.231,9.399,161.987
-0.583,-0.404,0.285,21.179,-0.854,155.884
-0.552,-0.448,0.238,4.700,-10.620,151.306
-0.474,-0.545,0.183,-2.808,-18.066,151.733
-0.430,-0.660,0.128,0.671,-18.005,155.518
-0.417,-0.752,0.075,13.428,-10.315,158.569
-0.404,-0.790,0.041,32.043,-0.732,158.752
-0.413,-0.803,0.048,47.607,8.179,156.616
-0.420,-0.803,0.065,48.523,14.465,151.611
-0.435,-0.783,0.090,32.166,15.015,143.005
-0.446,-0.745,0.103,2.747,10.620,132.629
-0.438,-0.723,0.083,-29.907,2.869,124.146
-0.391,-0.730,0.068,-51.392,-4.028,121.582
-0.357,-0.748,0.050,-50.598,-3.723,123.474
-0.346,-0.772,0.021,-30.273,3.113,127.075
-0.324,-0.813,-0.019,-0.183,14.465,131.042
-0.309,-0.842,-0.037,29.907,28.198,134.705
-0.271,-0.863,0.019,47.180,41.077,136.230
-0.252,-0.889,0.111,41.687,49.194,132.568
-0.268,-0.881,0.191,11.963,47.791,124.695
-0.282,-0.840,0.215,-30.457,35.522,115.173
-0.267,-0.817,0.206,-65.063,19.348,107.788
-0.219,-0.823,0.193,-71.960,10.986,104.614
-0.167,-0.848,0.198,-46.814,12.207,107.666
-0.135,-0.884,0.198,-1.160,17.578,116.394
-0.113,-0.888,0.166,47.974,26.184,126.526
-0.107,-0.940,0.170,83.496,34.668,135.742
-0.094,-1.044,0.230,88.623,35.889,137.756
-0.099,-1.080,0.281,60.730,26.611,130.127
-0.102,-1.097,0.291,14.160,12.085,120.056
-0.013,-1.175,0.287,-22.888,-2.136,117.615
0.077,-1.308,0.280,-27.161,-9.094,121.582
0.086,-1.413,0.248,0.977,-7.690,123.535
0.098,-1.449,0.206,46.509,-4.272,122.192
0.090,-1.450,0.160,85.876,-0.549,118.835
0.072,-1.424,0.125,99.060,4.578,112.915
0.046,-1.399,0.111,89.539,8.118,104.065
0.026,-1.347,0.108,67.749,8.789,93.445
-0.010,-1.277,0.132,39.001,5.981,83.069
-0.027,-1.214,0.086,13.672,0.549,74.829

0.158,-1.806,0.244,-24.048,-14.709,4.761
-0.029,-1.273,0.069,-40.405,-10.559,-17.761
-0.118,-0.899,0.033,-20.691,1.892,-24.109
-0.127,-0.797,0.083,19.043,6.226,-17.090
-0.147,-0.779,0.127,36.987,5.005,-8.118
-0.130,-0.808,0.119,34.363,2.136,-0.549
-0.105,-0.852,0.113,25.818,-2.075,5.493
-0.073,-0.904,0.104,15.625,-4.700,8.972
-0.045,-0.967,0.108,6.653,-7.202,10.376
-0.037,-1.026,0.098,-0.488,-9.888,9.338
