aX,aY,aZ,gX,gY,gZ
-1.084,-1.463,-0.085,-25.208,34.180,-4.700
-1.138,-1.420,-0.017,-41.931,40.222,-9.216
-1.109,-1.308,0.072,-57.495,42.908,-12.695
-1.021,-1.188,0.178,-65.735,42.664,-13.184
-0.914,-1.086,0.281,-67.261,42.297,-10.193
-0.831,-1.000,0.347,-62.988,41.199,-5.737
-0.742,-0.927,0.368,-53.528,37.170,-2.136
-0.676,-0.865,0.365,-38.940,30.579,2.380
-0.626,-0.806,0.349,-24.597,24.902,9.094
-0.569,-0.767,0.323,-13.062,20.081,16.479
-0.516,-0.735,0.289,-2.686,15.625,23.560
-0.450,-0.720,0.270,7.324,12.146,31.067
-0.355,-0.738,0.279,13.550,8.179,37.720
-0.255,-0.778,0.278,14.343,-0.244,39.612
-0.215,-0.823,0.218,12.146,-11.108,36.987
-0.183,-0.872,0.132,8.606,-21.912,30.762
-0.152,-0.919,0.062,7.507,-27.466,21.729
-0.100,-0.916,0.050,11.963,-24.536,11.536
-0.019,-0.854,0.095,17.944,-16.174,4.578
0.080,-0.792,0.182,14.587,-8.301,5.493
0.174,-0.797,0.240,-5.066,-7.751,12.451
0.254,-0.819,0.243,-32.532,-14.404,17.456
0.323,-0.807,0.225,-49.316,-21.362,16.479
0.421,-0.736,0.198,-50.232,-25.757,14.282
0.561,-0.674,0.184,-40.344,-31.921,16.296
0.656,-0.616,0.189,-30.518,-33.630,30.151
0.799,-0.640,0.175,-21.179,-34.851,51.880
0.885,-0.712,0.111,-9.521,-36.194,76.111
0.916,-0.827,0.037,10.315,-35.583,91.003
0.907,-0.980,-0.011,33.752,-36.377,95.581
0.891,-1.076,-0.065,48.950,-40.955,94.971
0.728,-1.177,-0.110,54.443,-32.410,90.027
0.714,-1.240,-0.166,52.673,-24.353,67.993
0.683,-1.189,-0.183,42.847,-35.889,51.697
0.648,-1.122,-0.215,26.367,-29.724,44.922
0.556,-1.105,-0.223,14.893,-15.259,39.063
0.488,-1.037,-0.186,10.620,-8.972,32.593
0.444,-1.002,-0.149,11.108,-8.667,24.231
0.370,-0.971,-0.139,11.658,-5.615,16.541
0.324,-0.958,-0.124,11.902,-3.418,12.024
0.338,-0.961,-0.091,8.972,-0.427,9.583
0.326,-1.004,-0.054,0.977,2.991,7.568
0.325,-1.008,0.000,-8.057,6.897,5.005
0.353,-1.005,0.063,-11.230,9.888,0.977
0.389,-1.000,0.112,-9.216,10.437,-3.113
0.369,-0.978,0.130,-3.540,6.470,-5.066
0.367,-0.963,0.124,5.798,1.709,-5.981
0.308,-0.943,0.100,12.878,0.549,-4.639
0.288,-0.945,0.082,13.794,2.869,-1.892
0.329,-0.966,0.082,9.521,3.540,0.916
