aX,aY,aZ,gX,gY,gZ
-0.315,-1.235,-1.111,47.913,-157.593,5.127
-0.369,-1.272,-1.173,53.955,-152.771,-5.798
-0.418,-1.290,-1.204,51.758,-136.292,-17.578
-0.448,-1.270,-1.188,45.044,-109.802,-30.823
-0.433,-1.174,-1.111,36.621,-77.637,-42.175
-0.384,-1.042,-0.985,27.283,-46.387,-48.706
-0.323,-0.940,-0.832,17.090,-20.569,-48.645
-0.278,-0.878,-0.674,7.446,-1.221,-42.236
-0.228,-0.825,-0.531,-2.991,12.695,-32.288
-0.201,-0.799,-0.438,-14.648,19.897,-22.766
-0.177,-0.802,-0.373,-23.804,23.437,-13.855
-0.148,-0.815,-0.326,-29.053,26.123,-6.226
-0.146,-0.830,-0.293,-30.457,26.001,-2.686
-0.130,-0.834,-0.300,-27.283,26.611,-2.197
-0.148,-0.827,-0.310,-18.738,26.672,-4.150
-0.158,-0.808,-0.323,-5.981,26.855,-8.484
-0.176,-0.785,-0.309,9.216,26.428,-13.489
-0.177,-0.781,-0.296,21.973,25.269,-15.930
-0.160,-0.807,-0.303,28.381,25.208,-14.526
-0.150,-0.833,-0.303,28.137,27.649,-8.545
-0.152,-0.862,-0.287,22.400,32.471,-0.854
-0.144,-0.886,-0.269,12.573,37.720,6.653
-0.145,-0.896,-0.258,1.892,41.992,13.062
-0.135,-0.906,-0.249,-6.165,44.617,17.395
-0.145,-0.915,-0.231,-10.376,45.837,18.982
-0.144,-0.913,-0.213,-10.071,44.983,18.738
-0.129,-0.917,-0.201,-6.775,43.396,18.005
-0.123,-0.928,-0.198,-2.625,40.283,17.029
-0.121,-0.943,-0.202,1.404,37.170,16.113
-0.117,-0.958,-0.212,3.601,34.912,15.137
-0.109,-0.962,-0.235,3.113,33.081,14.099
-0.096,-0.959,-0.253,1.892,31.616,12.756
-0.089,-0.957,-0.250,1.343,29.785,11.169
-0.105,-0.964,-0.228,0.671,26.245,9.399
-0.116,-0.963,-0.215,-2.197,19.531,7.385
-0.118,-0.966,-0.210,-7.568,8.728,5.249
-0.138,-0.942,-0.240,-14.465,-5.066,2.747
-0.137,-0.889,-0.321,-19.836,-19.409,-0.305
-0.116,-0.846,-0.408,-18.616,-30.396,-3.479
-0.102,-0.832,-0.445,-8.850,-36.560,-6.409
-0.095,-0.841,-0.444,3.601,-40.649,-9.521
-0.104,-0.858,-0.422,13.123,-45.654,-12.329
-0.060,-0.890,-0.401,16.907,-53.589,-14.648
-0.027,-0.924,-0.369,13.550,-65.430,-17.273
-0.030,-0.893,-0.383,3.113,-81.604,-18.738
-0.022,-0.813,-0.485,-11.230,-95.825,-18.005
0.002,-0.780,-0.615,-17.761,-102.600,-13.184
0.013,-0.805,-0.692,-12.817,-98.206,-5.920
-0.030,-0.853,-0.704,-1.221,-84.290,-2.136
-0.064,-0.888,-0.670,10.681,-64.453,-0.305
-0.057,-0.892,-0.633,16.846,-46.631,-0.183
-0.051,-0.892,-0.593,17.883,-36.743,-0.488
-0.028,-0.916,-0.563,11.108,-30.579,1.587
-0.033,-0.928,-0.572,-3.296,-22.644,5.432
-0.081,-0.909,-0.602,-17.090,-13.367,10.315
-0.051,-0.922,-0.602,-20.203,-5.005,11.414
0.016,-0.962,-0.560,-13.062,0.000,9.216
0.052,-0.997,-0.527,-3.479,1.526,7.446
0.110,-1.021,-0.496,2.197,3.723,10.620
0.108,-1.085,-0.449,-0.427,4.761,19.287
0.105,-1.177,-0.449,-10.071,7.690,26.062
0.129,-1.274,-0.454,-18.616,14.404,29.602
0.051,-1.229,-0.466,-21.484,24.048,26.733
0.052,-1.211,-0.431,-15.320,39.124,21.057
0.132,-1.214,-0.368,-2.136,52.795,13.245
0.185,-1.266,-0.264,14.526,58.777,7.629
0.263,-1.402,-0.096,28.870,60.364,7.812
0.301,-1.513,0.041,32.166,56.458,9.216
0.252,-1.570,0.101,25.085,51.147,6.714
0.092,-1.512,0.074,15.747,50.659,-0.427
-0.031,-1.419,0.024,9.033,53.284,-9.705
-0.028,-1.379,0.059,8.423,58.289,-21.118
-0.014,-1.317,0.128,12.451,65.063,-33.203
0.027,-1.224,0.115,15.503,69.946,-43.213
0.065,-1.148,0.104,16.174,73.669,-46.204
0.038,-1.106,0.128,15.930,78.369,-43.579
0.014,-1.093,0.166,12.695,86.731,-40.527
0.009,-1.041,0.183,7.629,96.375,-40.283
0.038,-0.990,0.218,7.446,104.370,-42.542
0.106,-0.956,0.322,13.306,107.361,-45.166
0.147,-0.913,0.418,20.020,103.027,-46.021
0.140,-0.865,0.409,21.057,93.994,-42.969
0.108,-0.855,0.342,17.822,84.106,-35.095
0.052,-0.889,0.286,17.273,77.026,-25.085
0.001,-0.928,0.266,19.653,73.303,-16.724
-0.013,-0.933,0.233,22.949,72.021,-11.658
-0.020,-0.921,0.204,30.334,71.228,-7.446
-0.011,-0.918,0.185,42.969,69.275,-4.150
-0.010,-0.906,0.189,55.298,67.810,-0.244
0.042,-0.929,0.211,61.157,66.772,5.188
0.089,-0.972,0.220,59.509,64.270,11.169
0.030,-0.982,0.207,54.443,58.411,16.174
-0.014,-1.001,0.158,48.279,54.871,18.433
-0.030,-1.044,0.133,41.077,55.725,18.677
-0.020,-1.104,0.172,33.691,60.303,19.531
-0.013,-1.129,0.259,27.405,65.125,18.127
0.003,-1.127,0.353,23.010,66.711,11.841
0.032,-1.109,0.427,19.531,65.308,4.761
0.035,-1.083,0.446,12.146,60.364,0.122
0.034,-1.068,0.442,2.319,51.208,-1.831
0.014,-1.048,0.408,-3.906,38.391,-3.418
-0.031,-1.046,0.356,-4.517,24.475,-4.883
-0.063,-1.024,0.284,-4.395,13.367,-5.981
-0.087,-1.004,0.210,-3.784,5.737,-5.188
-0.089,-0.994,0.156,-3.845,1.587,-3.052
-0.077,-0.996,0.125,-3.723,0.305,-0.061
-0.044,-1.003,0.117,-2.563,-1.526,2.563
-0.021,-1.015,0.109,-0.916,-5.005,5.493
-0.021,-1.030,0.085,0.183,-9.766,9.460
-0.045,-1.048,0.042,0.244,-15.381,13.123
-0.057,-1.055,-0.038,0.488,-20.325,15.930
-0.090,-1.073,-0.112,2.869,-23.499,17.700
-0.105,-1.075,-0.170,7.202,-23.499,17.944
-0.114,-1.085,-0.208,11.230,-21.057,16.479
-0.112,-1.096,-0.213,13.550,-17.395,14.648
-0.121,-1.118,-0.174,12.878,-12.207,13.306
-0.128,-1.148,-0.115,9.888,-7.202,11.536
-0.132,-1.175,-0.037,6.592,-3.235,8.362
-0.133,-1.187,0.042,3.479,-0.854,2.991

0.680,-1.450,0.903,-12.939,98.511,24.048
0.488,-1.192,0.843,-65.247,35.156,17.578
0.320,-1.019,0.477,-114.746,-31.799,16.602
0.245,-0.979,0.080,-129.883,-89.844,22.217
0.125,-0.959,-0.271,-105.835,-126.038,30.518
-0.016,-0.982,-0.466,-53.589,-133.118,33.203
-0.093,-1.013,-0.531,5.920,-115.112,33.264
0.052,-1.209,-0.455,52.490,-79.346,33.142
0.205,-1.417,-0.222,78.064,-41.992,31.555
0.168,-1.455,-0.022,70.007,-21.423,25.269
0.161,-1.317,0.026,27.161,-18.677,16.663
0.153,-1.135,-0.009,-26.550,-27.283,15.625
0.148,-0.994,-0.083,-72.815,-36.133,23.376
0.094,-0.934,-0.174,-99.060,-41.626,32.654
0.149,-0.938,-0.208,-99.182,-39.978,39.246
0.127,-0.931,-0.192,-76.599,-37.231,42.236
0.090,-0.912,-0.234,-45.898,-36.865,39.124
0.111,-0.891,-0.298,-14.282,-36.743,31.250
0.140,-0.869,-0.351,15.564,-32.043,24.963
0.132,-0.847,-0.341,38.025,-22.461,24.170
0.151,-0.875,-0.253,46.204,-13.733,28.870
0.231,-0.969,-0.091,34.363,-11.780,36.194
0.199,-0.992,-0.008,0.977,-22.766,43.213
0.137,-0.954,-0.057,-41.199,-46.570,49.377
0.078,-0.913,-0.241,-70.801,-77.026,51.392
-0.001,-0.873,-0.488,-70.435,-108.582,47.607
-0.073,-0.890,-0.697,-40.161,-126.038,36.194
-0.151,-0.925,-0.792,2.502,-129.517,20.508
-0.191,-0.962,-0.800,39.490,-124.390,7.629
-0.214,-0.989,-0.769,58.472,-112.244,0.549
-0.222,-1.000,-0.721,57.434,-98.083,-0.671
-0.198,-0.979,-0.655,43.640,-85.876,3.052
-0.169,-0.956,-0.581,25.696,-78.735,8.484
-0.170,-0.927,-0.530,6.958,-76.050,13.733
-0.181,-0.910,-0.518,-8.423,-77.209,16.418
-0.217,-0.908,-0.537,-15.564,-83.191,16.724
-0.267,-0.937,-0.571,-12.573,-90.881,14.160
-0.302,-0.978,-0.605,-2.808,-97.412,7.935
-0.324,-1.004,-0.637,7.812,-100.098,-0.061
-0.325,-1.021,-0.662,15.198,-98.145,-6.653
-0.321,-1.026,-0.670,18.616,-92.468,-11.719
-0.317,-1.012,-0.659,18.860,-83.618,-14.587
-0.324,-0.996,-0.632,16.907,-73.303,-15.930
-0.333,-0.981,-0.603,14.343,-63.354,-16.174
-0.336,-0.976,-0.577,11.719,-54.749,-15.991
-0.337,-0.967,-0.567,9.766,-46.448,-15.625
