aX,aY,aZ,gX,gY,gZ
0.375,-2.320,0.022,-26.733,3.784,23.499
0.389,-2.330,0.065,-30.457,8.179,6.958
0.340,-2.308,0.141,-34.119,8.789,-3.906
0.331,-2.290,0.215,-36.865,9.827,-11.780
0.303,-2.250,0.257,-38.757,9.888,-19.653
0.266,-2.151,0.251,-39.063,9.338,-25.269
0.208,-2.043,0.210,-36.621,10.559,-30.090
0.178,-1.942,0.164,-28.198,14.465,-33.081
0.175,-1.840,0.158,-17.151,18.494,-33.020
0.196,-1.770,0.159,-9.949,22.522,-29.968
0.220,-1.722,0.151,-9.216,25.513,-24.109
0.234,-1.679,0.147,-13.062,24.719,-17.029
0.253,-1.640,0.115,-19.104,22.461,-12.878
0.279,-1.599,0.088,-23.682,21.667,-11.597
0.332,-1.561,0.071,-25.269,21.179,-10.986
0.378,-1.533,0.050,-21.912,19.165,-11.230
0.428,-1.507,0.047,-16.968,14.343,-15.137
0.479,-1.464,0.036,-16.418,5.859,-21.667
0.500,-1.403,-0.007,-20.813,-2.686,-30.518
0.499,-1.327,-0.063,-27.588,-8.423,-41.199
0.468,-1.228,-0.097,-31.677,-9.460,-52.124
0.429,-1.114,-0.130,-31.799,-6.897,-59.509
0.345,-1.013,-0.166,-32.898,-4.822,-60.669
0.288,-0.952,-0.160,-35.583,-10.498,-61.768
0.281,-0.867,-0.180,-41.748,-16.418,-62.622
0.348,-0.781,-0.185,-47.852,-12.390,-58.716
0.368,-0.632,-0.192,-50.842,3.540,-50.476
0.303,-0.533,-0.139,-45.776,15.564,-45.532
0.231,-0.451,-0.105,-29.907,21.240,-46.997
0.214,-0.365,-0.033,-7.935,22.705,-55.725
0.212,-0.291,0.030,11.230,13.245,-72.815
0.199,-0.207,0.015,17.456,2.075,-91.675
0.155,-0.082,-0.067,15.808,-4.822,-101.257
0.101,0.038,-0.137,13.245,-13.611,-101.135
0.021,0.090,-0.195,7.629,-27.710,-94.849
-0.043,0.116,-0.247,-0.366,-41.199,-88.257
-0.057,0.179,-0.276,-7.568,-46.997,-83.923
-0.084,0.242,-0.269,-9.155,-46.204,-80.627
-0.128,0.300,-0.246,-6.287,-37.354,-75.989
-0.165,0.332,-0.207,-2.014,-25.513,-70.618
-0.174,0.341,-0.166,0.061,-16.052,-63.599
-0.188,0.317,-0.123,0.305,-9.521,-55.115
-0.199,0.269,-0.069,-2.441,-5.920,-47.791
-0.197,0.248,-0.030,-11.047,-4.639,-43.640
-0.196,0.251,-0.022,-22.583,-5.188,-40.344
-0.207,0.263,-0.022,-31.067,-5.432,-35.400
-0.213,0.257,0.001,-31.250,-4.456,-31.006
-0.241,0.255,0.026,-24.780,-2.319,-27.893
-0.290,0.269,0.064,-16.602,1.709,-24.170
-0.334,0.263,0.113,-10.010,6.470,-18.433
-0.349,0.258,0.175,-6.470,9.766,-11.658
-0.361,0.241,0.226,-7.019,11.414,-5.615
-0.373,0.186,0.250,-12.207,12.329,0.610
-0.384,0.118,0.236,-21.057,13.062,9.949
-0.367,0.070,0.146,-31.677,16.907,18.494
-0.343,0.014,0.135,-36.072,17.578,23.987
-0.301,-0.061,0.155,-27.710,16.418,29.236
-0.251,-0.148,0.185,-13.000,17.334,34.973
-0.226,-0.239,0.213,-0.122,21.423,40.527
-0.212,-0.327,0.228,5.737,27.222,43.823
-0.218,-0.387,0.236,5.737,30.029,43.823
-0.275,-0.434,0.275,0.916,27.588,44.800
-0.309,-0.544,0.339,-14.832,19.714,52.429
-0.272,-0.666,0.364,-45.837,1.648,62.866
-0.199,-0.731,0.318,-80.139,-22.400,67.261
-0.156,-0.719,0.246,-98.450,-43.396,62.256
-0.102,-0.645,0.190,-89.966,-49.866,52.673
-0.068,-0.575,0.153,-61.584,-43.945,47.119
-0.090,-0.666,0.153,-28.198,-32.288,48.950
-0.091,-0.816,0.136,-6.226,-17.212,55.054
-0.044,-0.983,0.143,2.014,-0.183,58.655
-0.011,-1.128,0.173,7.263,12.573,56.030
0.007,-1.143,0.174,8.179,19.287,48.157
0.042,-1.053,0.182,14.038,22.888,39.368
0.095,-0.992,0.214,30.579,26.733,35.583
0.130,-0.973,0.235,53.345,31.799,37.598
0.135,-1.071,0.288,76.965,37.476,42.847
0.129,-1.228,0.324,90.149,41.809,49.744
0.135,-1.297,0.327,86.243,42.358,55.420
0.137,-1.340,0.289,70.129,33.447,57.190
0.123,-1.343,0.189,49.011,15.076,52.917
0.104,-1.267,0.057,33.325,-2.808,45.959
0.110,-1.196,0.008,31.616,-12.085,40.466
0.112,-1.232,0.039,40.161,-8.545,39.917
0.120,-1.255,0.123,46.814,-2.319,45.288
0.130,-1.248,0.218,46.692,-1.465,52.368
0.108,-1.296,0.252,44.312,-0.366,57.739
0.044,-1.336,0.202,46.570,2.014,60.791
0.036,-1.332,0.090,57.434,2.686,60.486
0.079,-1.345,-0.017,69.214,-1.770,57.617
0.123,-1.361,-0.112,74.585,-6.592,55.725
0.130,-1.436,-0.175,72.510,-7.751,54.260
0.149,-1.534,-0.169,57.922,-5.920,53.467
0.206,-1.565,-0.103,30.884,-1.404,52.124
0.171,-1.557,0.037,2.136,1.831,48.279
0.228,-1.545,0.153,-21.240,8.240,38.818
0.233,-1.508,0.260,-37.231,7.996,31.799
0.190,-1.488,0.273,-33.752,7.690,23.682
0.196,-1.436,0.177,-12.512,13.062,18.372
0.158,-1.355,0.093,12.878,19.470,19.653
0.078,-1.283,0.057,34.180,23.743,23.315
0.062,-1.223,0.025,46.265,25.940,25.024
0.098,-1.186,0.025,50.110,29.114,25.635
0.149,-1.141,0.061,44.861,30.151,27.161
0.051,-1.068,0.093,33.386,23.071,30.640
1.763,-4.000,-0.798,33.203,20.142,28.625
1.349,-4.000,1.428,134.705,14.771,27.954
-0.035,-1.879,0.082,-105.408,-30.640,11.597
-0.197,-0.650,-0.205,-350.037,-33.081,-92.041
-0.108,-0.514,-0.001,-228.638,11.230,-128.723
-0.289,-0.308,0.174,60.242,44.006,-93.018
-0.131,-0.386,0.474,164.612,42.969,-46.204
-0.100,-0.652,0.585,142.578,24.475,-11.353
-0.103,-0.809,0.363,76.294,6.470,21.240
-0.070,-0.761,0.156,16.235,-20.020,51.025
0.032,-0.935,0.111,-8.972,-45.593,66.101
0.243,-1.305,-0.103,-5.249,-46.570,70.862
0.362,-1.498,-0.130,29.419,-33.081,63.416
0.254,-1.214,-0.126,59.937,-16.418,37.415

0.513,-2.674,-0.076,53.101,16.724,44.250
0.562,-2.726,-0.149,40.710,10.254,22.156
0.549,-2.849,-0.067,36.621,18.921,2.014
0.555,-2.869,-0.038,18.921,30.457,-16.113
0.550,-2.856,0.059,-7.202,30.884,-34.485
0.571,-2.801,0.155,-30.396,27.466,-50.415
0.559,-2.719,0.209,-54.260,19.958,-66.223
0.520,-2.571,0.224,-73.547,8.118,-83.496
0.468,-2.360,0.206,-78.613,-1.160,-98.450
0.408,-2.152,0.200,-70.984,-4.883,-107.849
0.363,-1.995,0.201,-57.983,-4.578,-112.000
0.365,-1.812,0.188,-46.082,-2.563,-112.915
0.348,-1.664,0.159,-36.743,-0.122,-109.375
0.320,-1.538,0.126,-28.564,2.808,-103.149
0.282,-1.413,0.076,-21.423,5.066,-97.778
0.236,-1.297,0.017,-15.442,5.981,-92.163
0.179,-1.210,-0.040,-11.658,5.798,-85.449
0.119,-1.098,-0.109,-9.399,4.456,-77.881
0.083,-1.012,-0.144,-8.972,0.366,-72.510
0.114,-0.950,-0.171,-11.536,-2.319,-68.298
0.170,-0.808,-0.190,-15.686,0.549,-61.279
0.164,-0.743,-0.152,-16.968,4.578,-52.734
0.116,-0.672,-0.125,-21.851,6.897,-44.556
0.033,-0.572,-0.112,-32.349,4.272,-39.063
-0.051,-0.472,-0.074,-45.227,-1.282,-37.048
-0.073,-0.392,0.006,-58.228,-6.653,-37.231
-0.056,-0.312,0.085,-68.970,-13.672,-38.208
-0.021,-0.275,0.141,-71.472,-25.024,-37.964
0.060,-0.219,0.146,-67.566,-37.170,-35.339
0.126,-0.150,0.085,-57.007,-48.096,-33.264
0.100,-0.145,0.017,-38.330,-58.105,-34.424
0.050,-0.135,-0.040,-22.095,-63.965,-37.109
0.044,-0.122,-0.082,-12.329,-67.871,-41.626
0.061,-0.149,-0.125,-9.277,-69.214,-43.701
0.074,-0.191,-0.175,-12.939,-68.237,-40.649
0.094,-0.237,-0.203,-18.494,-64.636,-36.560
0.118,-0.262,-0.208,-23.254,-56.824,-33.630
0.129,-0.272,-0.168,-24.353,-45.837,-31.616
0.116,-0.273,-0.090,-18.188,-31.860,-30.701
0.106,-0.282,-0.019,-4.517,-17.517,-31.921
0.078,-0.271,-0.004,11.414,-8.423,-36.438
0.028,-0.270,-0.033,24.231,-5.676,-42.236
0.004,-0.284,-0.096,31.311,-6.409,-46.143
-0.008,-0.288,-0.140,29.785,-6.897,-48.218
-0.052,-0.287,-0.137,20.020,-3.845,-49.133
-0.123,-0.264,-0.098,7.141,3.723,-48.828
-0.178,-0.253,-0.052,-1.587,11.780,-49.133
-0.236,-0.238,-0.021,-3.052,18.738,-50.232
-0.305,-0.208,-0.009,-2.197,24.048,-50.293
-0.363,-0.179,-0.009,-0.916,28.198,-48.889
-0.405,-0.164,0.006,3.540,31.372,-46.204
-0.441,-0.139,0.039,8.606,32.471,-42.725
-0.472,-0.126,0.077,7.324,31.433,-37.109
-0.501,-0.135,0.105,-1.160,28.809,-29.846
-0.509,-0.154,0.142,-11.230,26.367,-23.682
-0.510,-0.164,0.174,-20.996,22.278,-19.287
